,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40
1,999.0,6.38,4.83,6.98,3.94,14.67,7.58,12.28,11.19,7.89,9.48,16.11,7.47,37.63,9.84,8.23,6.18,16.43,10.96,2.97,12.36,15.98,13.97,10.76,6.68,1.74,2.72,15.85,11.41,7.44,14.7,2.27,7.44,5.84,2.11,16.26,9.8,6.38,14.06,12.65
2,6.38,999.0,10.75,12.63,9.95,14.79,1.94,15.1,5.26,2.08,3.19,21.92,1.22,42.28,10.73,7.28,4.15,22.17,4.59,9.34,12.72,17.09,11.0,5.42,12.09,5.28,7.38,15.51,12.61,5.62,10.88,4.33,5.62,2.04,5.42,16.88,3.42,0.0,14.92,12.49
3,4.83,10.75,999.0,2.21,0.89,13.65,11.48,9.39,14.88,12.51,13.94,11.3,11.93,32.94,9.12,9.46,8.96,11.61,15.2,3.03,11.5,14.05,15.33,14.08,2.17,6.55,3.55,15.04,10.06,9.53,16.59,7.06,9.53,9.62,6.84,14.68,14.13,10.75,12.54,12.15
4,6.98,12.63,2.21,999.0,3.1,13.12,13.16,8.09,16.4,14.48,15.81,9.3,13.83,30.73,9.01,10.2,10.33,9.56,16.95,5.17,11.15,13.04,15.84,15.46,0.81,8.72,5.25,14.56,9.55,10.61,17.28,9.17,10.61,11.3,9.02,13.83,15.94,12.63,11.81,11.93
5,3.94,9.95,0.89,3.1,999.0,13.82,10.76,9.9,14.21,11.68,13.13,12.17,11.12,33.83,9.17,9.15,8.39,12.49,14.44,2.29,11.62,14.4,15.07,13.47,2.97,5.65,2.92,15.18,10.26,9.08,16.24,6.18,9.08,8.9,5.94,14.97,13.35,9.95,12.8,12.2
6,14.67,14.79,13.65,13.12,13.82,999.0,13.5,6.25,14.05,16.67,16.62,18.32,15.65,31.62,4.84,7.53,10.7,18.12,16.29,15.71,2.31,3.04,7.12,12.51,12.37,15.69,12.2,1.46,3.6,9.17,9.12,15.21,9.17,12.8,16.18,2.23,16.13,14.79,1.7,2.3
7,7.58,1.94,11.48,13.16,10.76,13.5,999.0,14.53,3.62,3.25,3.27,22.38,2.25,42.04,9.82,6.14,3.38,22.57,3.84,10.52,11.55,15.98,9.18,3.52,12.53,6.79,7.96,14.09,11.68,4.47,8.96,5.82,4.47,1.87,7.02,15.65,3.03,1.94,13.8,11.21
8,12.28,15.1,9.39,8.09,9.9,6.25,14.53,999.0,16.47,17.18,17.78,12.07,16.23,27.72,5.12,8.74,11.16,11.88,18.12,12.15,5.33,5.13,11.92,15.05,7.52,13.8,9.57,7.65,3.82,10.23,13.86,13.69,10.23,13.12,14.26,6.14,17.54,15.1,4.59,6.35
9,11.19,5.26,14.88,16.4,14.21,14.05,3.62,16.47,999.0,5.35,3.94,25.46,4.79,44.19,11.41,7.73,6.1,25.61,2.56,14.11,12.52,16.87,8.11,1.54,15.72,10.4,11.33,14.28,13.11,6.37,7.13,9.43,6.37,5.38,10.61,16.28,3.17,5.26,14.76,11.9
10,7.89,2.08,12.51,14.48,11.68,16.67,3.25,17.18,5.35,999.0,1.83,23.77,1.02,44.34,12.76,9.21,6.16,24.04,3.7,10.78,14.66,19.06,12.33,6.06,13.98,6.5,9.27,17.32,14.63,7.53,11.9,5.67,7.53,4.08,6.51,18.79,2.47,2.08,16.88,14.37
