colonia,Calle,# de casa,Código postal,Unnamed: 4,Ubicacion,Latitude,Longitude
RINCONADA DE HUENTITAN,JOSE MARIA CANA,5128,44250,Guadalajara,RINCONADA DE HUENTITAN JOSE MARIA CANA 5128 44250 Guadalajara,20.7290954,-103.3211909
LA ESTRADA,HIDALAGO,6,45200,zapopan,LA ESTRADA HIDALAGO 6 45200 zapopan,20.7992474,-103.4773028
JARDINES DE STA ISAB,COMBATE DE SACR,228,44300,Guadalajara,JARDINES DE STA ISAB COMBATE DE SACR 228 44300 Guadalajara,20.7146077,-103.3103647
PARAISOS DEL COLLY,GALEANA,1068,45069,zapopan,PARAISOS DEL COLLY GALEANA 1068 45069 zapopan,20.6508689,-103.4549679
MIRAVALLE II,HERMENEGILDO BU,4308,44990,Guadalajara,MIRAVALLE II HERMENEGILDO BU 4308 44990 Guadalajara,20.6171935,-103.3515091
PROGRESO,FRANCISCO SARAB,235,44730,Guadalajara,PROGRESO FRANCISCO SARAB 235 44730 Guadalajara,20.6751707,-103.3473385
RANCHO NUEVO,CELERINO NAVARR,4135,44240,zapopan,RANCHO NUEVO CELERINO NAVARR 4135 44240 zapopan,20.7173252,-103.3226322
AGRICOLA,DALIA,138,45236,zapopan,AGRICOLA DALIA 138 45236 zapopan,20.6166871,-103.4323929
REAL DE TESISTAN,PRIVADA EMILIAN,28,45200,zapopan,REAL DE TESISTAN PRIVADA EMILIAN 28 45200 zapopan,20.7985849,-103.4734126
FRACC CUSPIDE,VALLE DE TESIST,198,45200,zapopan,FRACC CUSPIDE VALLE DE TESIST 198 45200 zapopan,20.7959102,-103.4822055
EL COLLY URBANO I,MELCHOR OCAMPO,1233,45070,zapopan,EL COLLY URBANO I MELCHOR OCAMPO 1233 45070 zapopan,20.6431926,-103.4295033
ARTESANOS,GENERAL EULOGIO,712,44200,Guadalajara,ARTESANOS GENERAL EULOGIO 712 44200 Guadalajara,20.6868335,-103.3572848
SAN JUAN DE OCOTAN,MIGUEL MIRAMON,13,45019,zapopan,SAN JUAN DE OCOTAN MIGUEL MIRAMON 13 45019 zapopan,20.7069491,-103.4540669
MIRAVALLE,JOSE JARAMILLO,526,44990,Guadalajara,MIRAVALLE JOSE JARAMILLO 526 44990 Guadalajara,20.6155611,-103.3527505
ALTAMIRA,AV AMERICA,580,45160,zapopan,ALTAMIRA AV AMERICA 580 45160 zapopan,20.7122558,-103.3821956
SAN ANDRES,CALLE B,165,44810,Guadalajara,SAN ANDRES CALLE B 165 44810 Guadalajara,20.6621443,-103.2995395
COLINAS D LA PRIMAVE,CASCADA,147,45066,zapopan,COLINAS D LA PRIMAVE CASCADA 147 45066 zapopan,20.6301249,-103.4656279
JARDINES DE LA CRUZ,AV ISALA RAZA,2460,44950,Guadalajara,JARDINES DE LA CRUZ AV ISALA RAZA 2460 44950 Guadalajara,20.6349829,-103.3912074
MORELOS,CISNE,1332,44910,Guadalajara,MORELOS CISNE 1332 44910 Guadalajara,20.6517869,-103.3572848
IXTLAHUACAN DEL RIO,HDA SAN MIGUEL,10,45260,zapopan,IXTLAHUACAN DEL RIO HDA SAN MIGUEL 10 45260 zapopan,20.8692661,-103.2355813
CIRCUNVAL VALLARTA,REFORMA,2749,44680,Guadalajara,CIRCUNVAL VALLARTA REFORMA 2749 44680 Guadalajara,20.6809709,-103.3854452
CONDOMINIO MALAGA,AV CENTRAL,1351,45117,zapopan,CONDOMINIO MALAGA AV CENTRAL 1351 45117 zapopan,20.6927846,-103.432489
MIRAMAR,BAHIA MAGDALENA,5,45060,zapopan,MIRAMAR BAHIA MAGDALENA 5 45060 zapopan,20.6407578,-103.4490409
LINDAVISTA,ALLENDE,216,45169,zapopan,LINDAVISTA ALLENDE 216 45169 zapopan,20.7225403,-103.3986393
